Headword,Definitions,Part of Speech,Semantic Group,Frequency Rank
vinculum -_ n.,"bond, fetter, tie",Noun: 2nd Declension,War and Peace,594
volucer -cris -cre,flying,Adjective: 3rd Declension,Animals/Plants,977
v_num -_ n.,"vine, wine",Noun: 2nd Declension,Animals/Plants,640
volucris -is f./m.,bird,Noun: 3rd Declension,Animals/Plants,976
vir vir_ m.,man,Noun: 2nd Declension,People,85
volunt_s -_tis f.,"wish, desire",Noun: 3rd Declension,Emotions,859
ventus -_ m.,wind,Noun: 2nd Declension,Air and Fire,269
virg_ -inis f.,"maiden, virgin, girl",Noun: 3rd Declension,People,418
volupt_s -_tis f.,"pleasure, enjoyment",Noun: 3rd Declension,Social Life,378
verbum -_ n.,word,Noun: 2nd Declension,Writing/Poetry,188
virt_s -_tis f.,"valor, manliness, virtue",Noun: 3rd Declension,Personality Traits/Characteristics,111
v_s,"you (pl.); (gen.) vestrum/vestr_, (dat./abl.) v_b_s, (acc.) v_s",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,130
v_rus -a -um,TRUE,Adjective: 1st and 2nd Declension,Speech/Oratory,410
v_s f.,"force; (acc.) vim, (abl.) v_; (pl.) v_r_s, strength",Noun: 3rd Declension,War and Peace,115
v_tum -_ n.,"solemn promise, vow; hope",Noun: 2nd Declension,Religion,334
vester vestra vestrum,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,282
v_ta -ae f.,life,Noun: 1st Declension,Life and Being,87
v_x v_cis f.,"voice, utterance",Noun: 3rd Declension,Speech/Oratory,169
vest_gium -_ n.,"footstep, footprint, track",Noun: 2nd Declension,Travel,716
vitium -_ n.,"flaw, fault, crime",Noun: 2nd Declension,Justice,326
urbs urbis f.,city,Noun: 3rd Declension,The City,82
vestis -is f.,"garment, robe, clothing",Noun: 3rd Declension,Life and Being,413
v_t_ -_re,"avoid, shun",Verb: 1st Conjugation,Social Life,881
uterque utraque utrumque,each of two,Conjunction,Measurement,243
vet_ -_re vetu_ vet_tum,forbid,Verb: 1st Conjugation,Verbs of Compelling/Directing,665
_llus -a -um,"any, anyone",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,178
_tilis -e,useful,Adjective: 3rd Declension,Making/Doing,850
vetus veteris,old,Adjective: 3rd Declension,Time,295
ultimus -a -um,"farthest, final, last, ultimate",Adjective: 1st and 2nd Declension,Geography,432
utrum,whether; utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,827
via -ae f.,"way, street",Noun: 1st Declension,Travel,196
ultr_,"beyond, further (adv. and prep. + acc.)",Preposition,Place,600
vulgus -_ n. and m.,the common people,Noun: 2nd Declension,The City,675
v_c_nus -a -um,"neighboring, near",Adjective: 1st and 2nd Declension,Geography,940
umbra -ae f.,"shade, shadow",Noun: 1st Declension,Vision,257
vulnus -eris n.,wound,Noun: 3rd Declension,Violence,327
victor -_ris m.,conqueror,Noun: 3rd Declension,War and Peace,340
unda -ae f.,"wave, flowing water, water",Noun: 1st Declension,Earth and Water,207
uxor ux_ris f.,wife,Noun: 3rd Declension,The Household,552
vict_ria -ae f.,victory,Noun: 1st Declension,War and Peace,750
_nus -a -um,one,Adjective: 1st and 2nd Declension,Measurement,53
vide_ vid_re v_d_ v_sum,see,Verb: 2nd Conjugation,Vision,31
voc_ -_re,call,Verb: 1st Conjugation,Speech/Oratory,158
sui sibi s_/s_s_,"him- her- itself, themselves",Pronoun,Pronouns/Interrogatives,17
t_lum -_ n.,"missile, weapon, spear",Noun: 2nd Declension,War and Peace,255
tr_s tria,three,Adjective: Numeral,Measurement,533
v_t_s -is m.,"poet, bard",Noun: 3rd Declension,Writing/Poetry,684
superbus -a -um,"overbearing, proud, haughty",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,656
tempestas -t_tis f.,"period of time, season; bad weather, storm",Noun: 3rd Declension,Lengths of Time,753
trib_nus -_ m.,"tribune, title of various Roman officials, as m_litum, pl_bis, aer_ri_",Noun: 2nd Declension,The City,807
ve,or (postpositive enclitic),Conjunction,Conjunctions/Adverbs,307
super_ -_rum m. pl.,"those above, i.e. the gods",Noun: 2nd Declension,Religion,714
templum -_ n.,consecrated ground; temple,Noun: 2nd Declension,Religion,485
tr_stis -e,"sad, solemn, grim",Adjective: 3rd Declension,Emotions,275
vel,"or else, or; even; vel ... vel: either … or",Conjunction,Conjunctions/Adverbs,141
super_ -_re,"overcome, surpass, defeat",Verb: 1st Conjugation,War and Peace,668
tempus -oris n.,time,Noun: 3rd Declension,Time,89
t_ tu_ tibi t_,you (sing.),Pronoun,Pronouns/Interrogatives,9
superus -a -um,"situated above, upper",Adjective: 1st and 2nd Declension,Religion,99
tenebrae -br_rum f. pl.,"darkness, the shadows",Noun: 1st Declension,Vision,775
turba -ae f.,"crowd, uproar",Noun: 1st Declension,The City,323
son_ son_re sonu_ sonitum,"sound, resound",Verb: 1st Conjugation,Other Senses,583
supplicium -_ n.,"punishment, penalty",Noun: 2nd Declension,Justice,683
tene_ -_re -u_ tentum,"hold, keep",Verb: 2nd Conjugation,Other Senses,106
turb_ -_re,"disturb, confuse",Verb: 1st Conjugation,Speech/Oratory,868
soror -_ris f.,sister,Noun: 3rd Declension,The Household,497
supr_,"above, beyond (adv. and prep. +acc.)",Preposition,Place,588
tener -era -erum,tender,Adjective: 1st and 2nd Declension,Other Senses,490
turpis -e,"ugly, unsightly; disgraceful",Adjective: 3rd Declension,Other Senses,377
sors sortis f.,"lot, fate, destiny; oracle",Noun: 3rd Declension,Religion,639
