"Timestamp","Are lab assignments too short or too long?","Should I present more material/review during the labs?","How helpful am I in understanding material during lab/discussion?","How much interaction have I had with you?","Please rate my overall teaching effectiveness","What comments or suggestions do you have about lab or discussion?","How helpful are office hours?","Are you receiving enough help and support to succeed?","What can I improve about office hours? What suggestions do you have about office hours in general?"
"2017/07/19 3:18:50 PM MDT","3","2","4","4","4","","5","5",""
"2017/07/19 3:18:57 PM MDT","4","3","5","5","5","","5","4",""
"2017/07/19 3:19:08 PM MDT","4","2","5","5","5","","4","5",""
"2017/07/19 3:19:15 PM MDT","4","3","5","4","4","","3","3",""
"2017/07/19 3:19:22 PM MDT","5","5","3","4","4","Make them shorter","4","4",""
"2017/07/19 3:19:37 PM MDT","4","3","4","4","5","","5","4",""
"2017/07/19 3:19:45 PM MDT","4","2","3","4","4","","4","4",""
"2017/07/19 3:19:53 PM MDT","3","1","5","5","5","They are both very well run and help us greatly understand the material for this class. ","","5","I have never gone to Office hours. Usually the discussions are enough for me to understand the material."
"2017/07/19 3:19:56 PM MDT","5","3","5","2","4","","5","4","I think they're fine they way they are now. "
"2017/07/19 3:20:03 PM MDT","3","5","4","2","3","I would like to see more examples or review of lecture.","4","4",""
"2017/07/19 3:20:08 PM MDT","3","5","5","4","5","N/A","5","5","I think that you can go over a certain lesson or concept that everyone is having trouble on."
"2017/07/19 3:20:25 PM MDT","3","3","4","4","4","You're cool. I think the labs are okay. But the others struggle...","3","3","I never really went to one..."
"2017/07/19 3:21:25 PM MDT","4","5","4","2","4","You are very helpful during discussion, but not as much to the overall group of students during lab.","2","3","The room is cramped and I miss Henry."
"2017/07/19 3:21:36 PM MDT","4","1","5","5","5","You're great Austen; you're very well-spoken and it is impressive how well you explain confusing concepts! I'm surprised you're only a second-year student ","5","5","None"
"2017/07/19 3:21:39 PM MDT","4","4","5","4","5","Best TA ever :)
-More practice writing code in discussion
-More sample/practice exam questions
-Shorter labs","5","5","More rotation throughout office hours and asking ""Do you need help?"""
"2017/07/19 3:26:19 PM MDT","5","4","4","4","4","I think it would be helpful if labs weren't as time consuming and incorporated more topics of what we review during lecture. I think it would help us learn how to apply the concepts because sometimes I feel like what we learn in lecture and what we do in lab are two separate things","5","4","The way you guide during office hours helps a lot. I think maybe something I would appreciate just for myself is having more practice problems during office hours. When joseph gave us the swimmer example before the midterm to do in office hours it really helped me understand the concept a lot better"
